make,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,Nm/kgm,rpm,seats,country
Mahindra,Scorpio,2006,250000,120000,Diesel,Individual,Manual,Third Owner,10,2179,120,290,2800,8,India
Hyundai,Accent,2005,100000,100000,Diesel,Individual,Manual,Third Owner,13,1493,82,187,2500,5,South Korea
Maruti,Ertiga,2013,599000,60000,Diesel,Individual,Manual,Second Owner,21,1248,89,200,1750,7,India
Chevrolet,Cruze,2010,250000,135000,Diesel,Individual,Manual,Third Owner,18,1991,148,327,2600,5,United States
Maruti,Swift,2016,570000,90000,Petrol,Individual,Manual,First Owner,20,1197,82,113,4200,5,India
Volkswagen,Polo,2013,440000,75000,Diesel,Individual,Manual,Second Owner,22,1199,74,180,2000,5,Germany
Toyota,Innova,2005,300000,185000,Diesel,Individual,Manual,Second Owner,11,2494,101,200,3400,7,Japan
Nissan,Micra,2015,300000,71717,Petrol,Individual,Automatic,Second Owner,19,1198,76,104,4400,5,Japan
Mahindra,Scorpio,2011,500000,150000,Diesel,Individual,Automatic,Second Owner,12,2179,120,290,2800,8,India
Maruti,Swift,2016,660000,55000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Ford,Fiesta,2012,256000,90000,Petrol,Individual,Manual,Second Owner,15,1596,100,146,3400,5,United States
Renault,KWID,2018,409999,35000,Petrol,Individual,Manual,First Owner,23,999,67,91,4250,5,France
Hyundai,Santro,2011,250000,100000,LPG,Individual,Manual,Second Owner,13,1086,62,96,3000,5,South Korea
Honda,Civic,2009,280000,40000,Petrol,Individual,Automatic,Third Owner,13,1799,130,172,4300,5,Japan
Mahindra,Xylo,2010,300000,100000,Diesel,Individual,Manual,First Owner,13,2489,95,220,2600,8,India
Tata,Safari,2016,900000,120000,Diesel,Individual,Manual,First Owner,14,2179,148,320,3000,5,India
Maruti,Zen,2014,190000,60000,Petrol,Individual,Manual,First Owner,19,998,67,90,3500,5,India
Mahindra,Bolero,2019,800000,2000,Diesel,Individual,Manual,First Owner,16,2523,63,180,1500,9,India
Mahindra,Scorpio,2012,450000,100000,Diesel,Individual,Manual,First Owner,14,2523,75,200,2200,8,India
Mahindra,Xylo,2015,400000,110000,Diesel,Individual,Manual,First Owner,15,2489,94,218,2600,7,India
Tata,New,2009,150000,90000,Diesel,Individual,Manual,Second Owner,14,2179,138,320,2700,7,India
Tata,Indigo,2011,200000,84321,Diesel,Individual,Manual,First Owner,24,1396,70,140,3000,5,India
Mahindra,XUV500,2013,600000,177000,Diesel,Individual,Manual,First Owner,15,2179,140,330,2800,7,India
Tata,Indica,2010,175000,60000,Diesel,Individual,Manual,First Owner,18,1248,75,190,1750,5,India
Hyundai,i10,2008,215000,70000,Petrol,Individual,Manual,Second Owner,20,1197,79,112,4000,5,South Korea
Maruti,Omni,2011,190000,70000,Petrol,Individual,Manual,Third Owner,19,1459,92,0,3011,5,India
Renault,Duster,2013,520000,126000,Diesel,Individual,Manual,Second Owner,19,1461,108,248,2250,5,France
Tata,Indica,2015,285000,70000,Diesel,Individual,Manual,First Owner,19,1405,70,135,2500,5,India
Mahindra,TUV,2017,660000,82000,Diesel,Individual,Manual,First Owner,18,1493,100,240,2800,7,India
Maruti,800,2004,31504,110000,Petrol,Individual,Manual,Third Owner,16,796,37,59,2500,4,India
Maruti,Swift,2015,515000,45000,Petrol,Individual,Manual,Second Owner,21,1197,83,115,4000,5,India
Nissan,Sunny,2012,295000,70000,Diesel,Individual,Manual,Second Owner,22,1461,85,200,2000,5,Japan
Nissan,Terrano,2015,700000,80000,Diesel,Individual,Manual,Second Owner,20,1461,84,200,1900,5,Japan
Mahindra,Scorpio,2017,1100000,45000,Diesel,Individual,Manual,First Owner,15,2179,120,280,2800,7,India
Hyundai,EON,2017,300000,60000,Petrol,Individual,Manual,First Owner,20,998,68,94,3500,5,South Korea
Maruti,Swift,2013,450000,41800,Petrol,Individual,Manual,First Owner,19,1197,86,114,4000,5,India
Maruti,Swift,2017,700000,50000,Diesel,Individual,Manual,Second Owner,28,1248,74,190,2000,5,India
Ford,Figo,2012,250000,40000,Diesel,Individual,Manual,First Owner,20,1399,68,160,2000,5,United States
Maruti,Wagon,2009,140000,96000,Petrol,Individual,Manual,Second Owner,19,1061,67,84,3500,5,India
Mahindra,Xylo,2012,250000,117000,Diesel,Individual,Manual,First Owner,14,2498,112,260,2200,8,India
Hyundai,i10,2011,210000,110000,Petrol,Individual,Manual,Second Owner,20,1086,68,99,4500,5,South Korea
Honda,Amaze,2014,420000,100000,Diesel,Individual,Manual,Second Owner,26,1498,99,200,1750,5,Japan
Maruti,Alto,2007,130000,88700,Petrol,Individual,Manual,Third Owner,20,796,46,62,3000,5,India
Nissan,Sunny,2012,320000,70000,Petrol,Individual,Manual,Second Owner,17,1498,98,134,4000,5,Japan
Maruti,Wagon,2010,200000,110000,Petrol,Individual,Manual,Second Owner,17,1061,64,9,3500,5,India
Maruti,Alto,2016,310000,15000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Mahindra,Verito,2012,200000,80000,Diesel,Individual,Manual,Second Owner,21,1461,65,160,2000,5,India
Maruti,Ritz,2014,350000,50000,Petrol,Individual,Manual,First Owner,18,1197,86,114,4000,5,India
Hyundai,EON,2018,444000,15000,Petrol,Individual,Manual,First Owner,21,814,55,74,4000,5,South Korea
Datsun,RediGO,2017,300000,25000,Petrol,Individual,Manual,First Owner,23,799,54,72,4386,5,Japan
Mahindra,Verito,2011,225000,57000,Diesel,Individual,Manual,Second Owner,21,1461,64,160,2000,5,India
Mahindra,Bolero,2012,600000,75000,Diesel,Individual,Manual,First Owner,16,2523,62,195,2200,7,India
Maruti,Eeco,2013,260000,26000,Petrol,Individual,Manual,First Owner,15,1196,73,101,3000,5,India
Hyundai,Xcent,2015,375000,160000,Diesel,Individual,Manual,First Owner,24,1120,71,180,2125,5,South Korea
Maruti,Alto,2010,150000,120000,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Maruti,Alto,2014,110000,50000,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Maruti,Alto,2012,225000,40000,Petrol,Individual,Manual,First Owner,20,796,46,62,3000,5,India
Toyota,Etios,2011,400000,90000,Diesel,Individual,Manual,Third Owner,19,1459,92,0,3011,5,Japan
Maruti,Esteem,2005,93000,120000,Petrol,Individual,Manual,Third Owner,19,1459,92,0,3011,5,India
Honda,City,2017,860000,28000,Petrol,Individual,Manual,First Owner,18,1497,117,145,4600,5,Japan
Maruti,Swift,2018,650000,50000,Diesel,Individual,Manual,First Owner,28,1248,74,190,2000,5,India
Maruti,Ertiga,2014,650000,90000,Diesel,Individual,Manual,First Owner,21,1248,89,200,1750,7,India
Hyundai,Verna,2016,710000,40000,Diesel,Individual,Manual,First Owner,25,1396,89,220,2250,5,South Korea
Ford,Figo,2017,430000,113000,Diesel,Individual,Manual,First Owner,26,1498,99,215,3000,5,United States
Maruti,Swift,2011,305000,188000,Diesel,Individual,Manual,Second Owner,18,1248,75,190,2000,5,India
Ford,Figo,2011,220000,100000,Diesel,Individual,Manual,First Owner,20,1399,68,160,2000,5,United States
Mahindra,TUV,2017,660000,67000,Diesel,Individual,Manual,Second Owner,18,1493,100,240,2800,7,India
Chevrolet,Beat,2011,140000,70000,Diesel,Individual,Manual,Fourth & Above Owner,25,936,58,150,1750,5,United States
Toyota,Corolla,2015,1100000,50000,Petrol,Individual,Manual,First Owner,14,1798,138,173,4000,5,Japan
Volkswagen,Ameo,2017,625000,34000,Diesel,Individual,Automatic,First Owner,22,1498,108,250,3000,5,Germany
Honda,City,2004,198000,110000,Petrol,Individual,Manual,Third Owner,13,1493,100,13,4600,5,Japan
Hyundai,Santro,2001,60000,71000,Petrol,Individual,Manual,Second Owner,19,1459,92,0,3011,5,South Korea
Maruti,Wagon,2005,130000,140000,Petrol,Individual,Manual,Second Owner,19,998,67,90,3500,5,India
Honda,City,2012,540000,100000,Petrol,Individual,Manual,Second Owner,17,1497,116,146,4800,5,Japan
Hyundai,Grand,2017,550000,10000,Petrol,Individual,Automatic,First Owner,19,1197,82,114,4000,5,South Korea
Maruti,Celerio,2018,475000,30000,Petrol,Individual,Manual,First Owner,22,998,67,90,3500,5,India
Hyundai,Santro,2018,540000,7000,Petrol,Dealer,Manual,First Owner,20,1086,68,99,4500,5,South Korea
Maruti,Celerio,2019,484999,4875,Petrol,Dealer,Manual,First Owner,22,998,67,90,3500,5,India
Maruti,Vitara,2018,950000,58511,Diesel,Dealer,Manual,First Owner,24,1248,88,200,1750,5,India
Ford,Figo,2015,365000,105000,Diesel,Dealer,Manual,First Owner,26,1498,99,215,3000,5,United States
Mahindra,Thar,2018,900000,26235,Diesel,Dealer,Manual,First Owner,17,2498,105,247,2000,6,India
Tata,Nexon,2017,919999,26766,Diesel,Dealer,Manual,First Owner,22,1497,108,260,2750,5,India
Maruti,Swift,2017,600000,24522,Petrol,Dealer,Manual,First Owner,20,1197,82,113,4200,5,India
Maruti,Vitara,2016,839000,63000,Diesel,Dealer,Manual,First Owner,24,1248,88,200,1750,5,India
Volkswagen,Polo,2019,635000,2000,Petrol,Dealer,Manual,First Owner,16,1199,74,110,4300,5,Germany
Honda,City,2015,650000,80000,Diesel,Individual,Manual,First Owner,26,1498,99,200,1750,5,Japan
Honda,Jazz,2011,350000,80000,Petrol,Individual,Manual,Second Owner,16,1198,90,110,2,5,Japan
Maruti,Alto,2015,265000,54000,Petrol,Individual,Manual,First Owner,24,998,67,90,3500,5,India
Renault,KWID,2018,330000,30000,Petrol,Individual,Manual,First Owner,23,999,67,91,4250,5,France
Maruti,Eeco,2019,395000,5000,Petrol,Individual,Manual,First Owner,15,1196,73,101,3000,7,India
Mahindra,TUV,2015,700000,58945,Diesel,Individual,Manual,First Owner,18,1493,100,240,2800,7,India
Ford,Figo,2012,300000,90000,Diesel,Individual,Manual,First Owner,20,1399,68,160,2000,5,United States
Maruti,Ertiga,2013,625000,160000,Diesel,Individual,Manual,Third Owner,21,1248,89,200,1750,7,India
Volkswagen,Polo,2014,425000,80000,Diesel,Individual,Manual,Second Owner,15,1598,104,250,2500,5,Germany
Maruti,800,2004,55000,50000,Petrol,Individual,Manual,Third Owner,16,796,37,59,2500,4,India
Tata,Indigo,2015,250000,80000,Diesel,Individual,Manual,Second Owner,19,1405,69,135,2500,5,India
Mahindra,Bolero,2015,459999,156975,Diesel,Individual,Manual,First Owner,16,2523,62,195,2200,9,India
Chevrolet,Sail,2014,300000,50000,Petrol,Individual,Manual,First Owner,18,1199,82,108,5000,5,United States
Ford,EcoSport,2018,950000,27620,Diesel,Dealer,Manual,First Owner,23,1498,99,205,3250,5,United States
Mahindra,Scorpio,2013,484999,120000,Diesel,Individual,Manual,First Owner,12,2179,120,290,2800,9,India
Mahindra,Xylo,2009,161000,120000,Diesel,Individual,Manual,Third Owner,14,2498,112,260,2200,8,India
Hyundai,i20,2015,500000,58000,Petrol,Individual,Manual,First Owner,17,1197,82,115,4000,5,South Korea
Nissan,Sunny,2012,350000,50000,Petrol,Individual,Manual,First Owner,17,1498,98,134,4000,5,Japan
Maruti,Ignis,2017,550000,40000,Petrol,Individual,Automatic,First Owner,21,1197,82,113,4200,5,India
Honda,WR-V,2018,850000,7800,Petrol,Individual,Manual,First Owner,18,1199,89,110,4800,5,Japan
Maruti,Ertiga,2015,423000,60000,Petrol,Individual,Manual,Second Owner,16,1373,94,130,4000,7,India
Tata,Indigo,2005,90000,74000,Petrol,Individual,Manual,Second Owner,13,1396,85,12,500,5,India
Tata,New,2011,350000,58000,Diesel,Individual,Manual,Second Owner,14,2179,138,320,2700,7,India
Maruti,A-Star,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19,998,66,90,3500,5,India
Ford,Figo,2015,450000,70000,Petrol,Individual,Manual,First Owner,18,1196,87,112,4000,5,United States
Hyundai,i10,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20,1197,79,112,4000,5,South Korea
Hyundai,Santro,2002,75000,80000,Petrol,Individual,Manual,Third Owner,19,1459,92,0,3011,5,South Korea
Hyundai,i20,2016,511000,80000,Diesel,Individual,Manual,First Owner,23,1396,89,220,2125,5,South Korea
Maruti,Ertiga,2018,850000,59000,Diesel,Individual,Manual,First Owner,24,1498,94,225,2500,7,India
Tata,Indica,2018,250000,110000,Diesel,Individual,Manual,First Owner,25,1396,69,140,3000,5,India
Maruti,Celerio,2020,420000,25000,Petrol,Individual,Manual,First Owner,22,998,67,90,3500,5,India
Maruti,Alto,2014,180000,55000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Maruti,Celerio,2015,400000,25000,Diesel,Individual,Manual,First Owner,28,793,47,125,2000,5,India
Ford,Figo,2016,500000,143200,Diesel,Individual,Manual,First Owner,26,1498,99,215,3000,5,United States
Nissan,Micra,2012,204999,120000,Diesel,Individual,Manual,First Owner,23,1461,63,160,2000,5,Japan
Maruti,Ciaz,2014,459999,145000,Diesel,Individual,Manual,Second Owner,26,1248,88,200,1750,5,India
Hyundai,i20,2017,600000,30000,Petrol,Individual,Manual,First Owner,19,1197,82,115,4000,5,South Korea
Hyundai,Grand,2019,585000,8000,Petrol,Individual,Manual,First Owner,19,1197,82,114,4000,5,South Korea
Maruti,Swift,2013,525000,100000,Diesel,Individual,Manual,First Owner,23,1248,74,190,2000,5,India
Maruti,Omni,2012,160000,62000,Petrol,Individual,Manual,First Owner,14,796,35,6,3000,5,India
Mahindra,XUV500,2014,825000,110000,Diesel,Individual,Manual,First Owner,15,2179,140,330,2800,7,India
Hyundai,Santro,2007,127000,137000,CNG,Individual,Manual,First Owner,19,1459,92,0,3011,5,South Korea
Chevrolet,Tavera,2015,600000,80000,Diesel,Individual,Manual,Second Owner,14,2499,72,171,1800,9,United States
Maruti,Zen,2002,65000,80000,Petrol,Individual,Manual,Second Owner,17,993,60,78,4500,5,India
Maruti,Swift,2013,550000,100000,Diesel,Individual,Manual,First Owner,23,1248,74,190,2000,5,India
Mahindra,Bolero,2015,650000,120000,Diesel,Individual,Manual,First Owner,16,2523,63,180,1500,9,India
Maruti,Swift,2019,750000,24000,Diesel,Individual,Manual,First Owner,28,1248,74,190,2000,5,India
Mahindra,KUV,2017,380000,80000,Diesel,Individual,Manual,First Owner,25,1198,77,190,2250,6,India
Hyundai,Verna,2012,400000,138000,Diesel,Individual,Manual,First Owner,22,1582,126,260,2325,5,South Korea
Maruti,Wagon,2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,19,998,67,90,3500,5,India
Mahindra,TUV,2017,750000,60000,Diesel,Individual,Manual,First Owner,18,1493,100,240,2800,7,India
Chevrolet,Spark,2011,150000,80000,Petrol,Individual,Manual,First Owner,18,995,62,90,4200,5,United States
Maruti,Alto,2016,245000,50000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Tata,Manza,2013,260000,189000,Diesel,Individual,Manual,First Owner,21,1248,89,200,3000,5,India
Volkswagen,Vento,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21,1498,103,250,2500,5,Germany
Hyundai,i20,2014,450000,56000,Diesel,Individual,Manual,First Owner,22,1396,89,220,2250,5,South Korea
Maruti,Celerio,2016,351000,60000,Petrol,Individual,Manual,First Owner,23,998,67,90,3500,5,India
Mahindra,XUV500,2012,550000,130000,Diesel,Individual,Manual,First Owner,15,2179,140,330,2800,7,India
Nissan,Terrano,2016,750000,35000,Diesel,Individual,Manual,First Owner,20,1461,84,200,1900,5,Japan
Nissan,Terrano,2015,800000,35000,Diesel,Individual,Manual,First Owner,20,1461,84,200,1900,5,Japan
Tata,New,2011,350000,156000,Diesel,Individual,Manual,First Owner,12,2179,138,320,2700,7,India
Maruti,Alto,2013,200000,90000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Tata,Indigo,2008,150000,60000,Diesel,Individual,Manual,Third Owner,17,1405,70,14,2500,5,India
Nissan,Terrano,2016,800000,36000,Diesel,Individual,Manual,First Owner,19,1461,108,248,2250,5,Japan
Hyundai,EON,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21,814,55,74,4000,5,South Korea
Tata,New,2011,350000,160000,Diesel,Individual,Manual,First Owner,14,2179,138,320,2700,7,India
Mahindra,Scorpio,2006,250000,185000,Diesel,Individual,Manual,First Owner,13,2609,117,28,1700,9,India
Tata,Indica,2010,170000,110000,Diesel,Individual,Manual,Second Owner,17,1405,71,135,2500,5,India
Renault,KWID,2018,395000,10800,Petrol,Individual,Manual,First Owner,25,799,53,72,4386,5,France
Mahindra,Bolero,2012,450000,120000,Diesel,Individual,Manual,First Owner,16,2523,62,195,2200,7,India
Maruti,Ignis,2019,500000,15000,Petrol,Individual,Manual,First Owner,21,1197,82,113,4200,5,India
Tata,Sumo,2012,200000,67500,Diesel,Individual,Manual,First Owner,12,1948,68,115,500,10,India
Mahindra,KUV,2016,400000,50000,Diesel,Individual,Manual,First Owner,25,1198,77,190,2250,6,India
Mahindra,TUV,2016,650000,100000,Diesel,Individual,Manual,First Owner,18,1493,100,240,2800,7,India
Mahindra,Bolero,2016,550000,150000,Diesel,Individual,Manual,First Owner,16,2523,63,180,1500,9,India
Mahindra,XUV500,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16,2179,140,330,2800,7,India
Maruti,Alto,2012,254999,30000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Maruti,Alto,2011,180000,60000,Petrol,Individual,Manual,First Owner,20,796,46,62,3000,5,India
Chevrolet,Optra,2008,225000,120000,Diesel,Individual,Manual,Second Owner,17,1991,124,305,2000,5,United States
Maruti,Alto,2015,270000,49900,Petrol,Individual,Manual,Second Owner,23,796,47,69,3500,5,India
Tata,Manza,2012,310000,86000,Diesel,Individual,Manual,First Owner,21,1248,89,200,3000,5,India
Datsun,GO,2015,225000,71850,Petrol,Individual,Manual,First Owner,21,1198,67,104,4000,5,Japan
Fiat,Grande,2015,300000,95000,Diesel,Individual,Manual,Third Owner,21,1248,75,197,1750,5,Italy
Maruti,Swift,2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,18,1298,86,114,4000,5,India
Hyundai,EON,2011,180000,35000,Petrol,Individual,Manual,First Owner,21,814,55,74,4000,5,South Korea
Maruti,Swift,2015,550000,50000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Mahindra,Bolero,2007,300000,120000,Diesel,Individual,Manual,Third Owner,14,2523,63,180,1500,7,India
Hyundai,Elantra,2015,900000,145000,Diesel,Individual,Manual,First Owner,23,1582,126,260,2325,5,South Korea
Tata,Sumo,2012,254999,190000,Diesel,Individual,Manual,Third Owner,19,1459,92,0,3011,5,India
Maruti,Baleno,2015,590000,110000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Maruti,Wagon,2008,170000,112000,LPG,Individual,Manual,Second Owner,17,1061,58,8,4500,5,India
Maruti,Ritz,2016,475000,110000,Diesel,Individual,Manual,First Owner,23,1248,74,190,2000,5,India
Hyundai,Grand,2018,700000,29000,Diesel,Individual,Manual,First Owner,24,1186,74,190,2000,5,South Korea
Maruti,Wagon,2011,376000,60000,Petrol,Individual,Manual,First Owner,19,998,67,90,3500,5,India
Hyundai,Santro,2002,100000,120000,Petrol,Individual,Manual,Fourth & Above Owner,19,1459,92,0,3011,5,South Korea
Maruti,800,2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,16,796,37,59,2500,4,India
Mahindra,Scorpio,2012,440000,120000,Diesel,Individual,Automatic,Third Owner,12,2179,120,290,2800,8,India
Maruti,Wagon,2016,390000,80000,Petrol,Individual,Manual,First Owner,21,998,67,90,3500,5,India
Toyota,Innova,2012,725000,159000,Diesel,Individual,Manual,Second Owner,13,2494,102,20,2400,7,Japan
Mahindra,Bolero,2012,325000,110000,Diesel,Individual,Manual,Second Owner,16,2523,62,195,2200,7,India
Maruti,Alto,2010,170000,75000,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Maruti,Swift,2010,215000,120000,Diesel,Individual,Manual,Third Owner,19,1248,74,190,2000,5,India
Honda,City,2010,350000,110000,Petrol,Individual,Manual,Third Owner,17,1497,118,146,4800,5,Japan
Chevrolet,Spark,2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18,995,62,90,4200,5,United States
Hyundai,EON,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21,814,55,74,4000,5,South Korea
Maruti,Swift,2011,280000,85000,Diesel,Individual,Manual,First Owner,19,1459,92,0,3011,5,India
Nissan,Sunny,2014,335000,71000,Diesel,Dealer,Manual,First Owner,22,1461,85,200,2000,5,Japan
Mahindra,XUV500,2011,475000,108000,Diesel,Dealer,Manual,First Owner,16,2179,140,330,2800,7,India
Renault,Duster,2015,484999,75000,Diesel,Dealer,Manual,First Owner,20,1461,84,200,1750,5,France
Maruti,Ciaz,2018,650000,22000,Petrol,Individual,Manual,Second Owner,22,1462,103,138,4400,5,India
Hyundai,i20,2018,700000,30000,Petrol,Individual,Manual,Second Owner,19,1197,82,115,4000,5,South Korea
Mahindra,Scorpio,2018,900000,60000,Diesel,Individual,Manual,First Owner,15,2523,75,200,2200,7,India
Volkswagen,Polo,2013,350000,80000,Diesel,Individual,Manual,First Owner,22,1199,74,180,2000,5,Germany
Maruti,Vitara,2017,750000,51777,Diesel,Dealer,Manual,First Owner,24,1248,88,200,1750,5,India
Honda,Amaze,2018,600000,20000,Petrol,Individual,Manual,First Owner,20,1199,89,110,4800,5,Japan
Volkswagen,Polo,2018,565000,19000,Petrol,Individual,Manual,First Owner,19,999,75,95,4300,5,Germany
Datsun,GO,2016,329000,19000,Petrol,Individual,Manual,First Owner,21,1198,67,104,4000,5,Japan
Ford,EcoSport,2016,650000,50000,Diesel,Individual,Manual,First Owner,23,1498,99,205,3250,5,United States
Hyundai,Creta,2015,822000,60000,Diesel,Individual,Manual,First Owner,20,1582,126,260,2325,5,South Korea
Renault,Duster,2013,345000,100000,Diesel,Individual,Manual,Second Owner,19,1461,108,248,2250,5,France
Maruti,Zen,2001,30000,10000,Petrol,Individual,Manual,First Owner,17,993,60,78,4500,5,India
Maruti,Swift,2012,330000,50000,Diesel,Individual,Manual,Second Owner,23,1248,74,190,2000,5,India
Maruti,Wagon,2014,300000,74537,Petrol,Individual,Manual,Second Owner,21,998,67,90,3500,5,India
Maruti,SX4,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,13,1586,103,145,4100,5,India
Tata,Indica,2012,200000,80000,Diesel,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Chevrolet,Spark,2010,90000,70000,Petrol,Individual,Manual,Second Owner,18,995,62,90,4200,5,United States
Maruti,Wagon,2010,200000,80000,Petrol,Individual,Manual,Second Owner,19,1061,67,84,3500,5,India
Hyundai,Xcent,2016,550000,35000,Diesel,Individual,Manual,First Owner,24,1120,71,180,2125,5,South Korea
Chevrolet,Beat,2015,250000,23500,Petrol,Individual,Manual,First Owner,19,1199,77,106,4400,5,United States
Honda,City,2017,975000,82000,Diesel,Individual,Manual,First Owner,26,1498,98,200,1750,5,Japan
Toyota,Innova,2014,900000,100000,Diesel,Individual,Manual,Second Owner,13,2494,101,200,3600,8,Japan
Hyundai,i20,2018,610000,15000,Petrol,Individual,Manual,First Owner,19,1197,82,115,4000,5,South Korea
Maruti,Baleno,2017,620000,30000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Hyundai,Grand,2016,400000,30000,Petrol,Individual,Manual,First Owner,19,1197,82,114,4000,5,South Korea
Maruti,Celerio,2019,500000,11000,Petrol,Individual,Manual,First Owner,22,998,67,90,3500,5,India
Datsun,GO,2017,200000,140000,Petrol,Individual,Manual,First Owner,19,1198,67,104,4000,7,Japan
Tata,Zest,2016,360000,110000,Diesel,Individual,Manual,First Owner,23,1248,89,200,3000,5,India
Maruti,Alto,2012,252000,48000,Petrol,Individual,Manual,First Owner,21,998,67,90,3500,5,India
Maruti,Swift,2012,280000,70000,Diesel,Individual,Manual,Second Owner,23,1248,74,190,2000,5,India
Maruti,Swift,2018,509999,70000,Petrol,Individual,Manual,Second Owner,22,1197,82,113,4200,5,India
Mahindra,Scorpio,2016,1050000,58000,Diesel,Individual,Manual,First Owner,15,1997,120,280,2800,7,India
Maruti,Wagon,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,17,1061,58,8,4500,5,India
Maruti,Zen,2005,60000,90000,Petrol,Individual,Manual,Second Owner,17,993,60,78,4500,5,India
Mahindra,Xylo,2010,320000,40000,Diesel,Individual,Manual,Second Owner,14,2498,112,260,2200,7,India
Mahindra,Scorpio,2013,520000,110000,Diesel,Individual,Manual,First Owner,12,2179,120,290,2800,9,India
Tata,New,2007,250000,80000,Diesel,Individual,Manual,Second Owner,12,2179,138,320,2700,7,India
Maruti,Vitara,2017,725000,60000,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Mahindra,Bolero,2015,585000,50000,Diesel,Individual,Manual,First Owner,16,2523,62,195,2200,7,India
Tata,Tiago,2017,430000,25000,Petrol,Individual,Manual,First Owner,24,1199,84,114,3500,5,India
Maruti,Swift,2011,235000,100000,Diesel,Individual,Manual,Second Owner,23,1248,74,190,2000,5,India
Maruti,Swift,2012,350000,52000,Diesel,Individual,Manual,Third Owner,19,1248,74,190,2000,5,India
Hyundai,i10,2010,131000,80000,Petrol,Individual,Manual,Third Owner,20,1086,68,99,4500,5,South Korea
Honda,Amaze,2016,450000,85000,Diesel,Individual,Manual,First Owner,26,1498,99,200,1750,5,Japan
Maruti,Vitara,2016,750000,83000,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Maruti,Alto,2013,200000,50000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Maruti,Wagon,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,19,1061,67,84,3500,5,India
Mahindra,Bolero,2014,500000,100000,Diesel,Individual,Manual,First Owner,16,2523,62,195,2200,7,India
Maruti,Swift,2012,380000,70000,Diesel,Individual,Manual,Third Owner,23,1248,74,190,2000,5,India
Maruti,Alto,2008,128000,19000,Petrol,Individual,Manual,First Owner,20,796,46,62,3000,5,India
Honda,City,2009,250000,68600,Petrol,Individual,Manual,Third Owner,17,1497,118,146,4800,5,Japan
Mahindra,Bolero,2017,690000,60000,Diesel,Individual,Manual,First Owner,16,1493,70,195,2200,7,India
Mahindra,Bolero,2014,650000,65000,Diesel,Individual,Manual,Second Owner,16,2523,62,195,2200,7,India
Honda,City,2012,560000,40000,Petrol,Individual,Manual,Second Owner,17,1497,116,146,4800,5,Japan
Tata,Indica,2012,120000,160000,Diesel,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Maruti,Celerio,2016,400000,25000,Petrol,Individual,Manual,First Owner,23,998,67,90,3500,5,India
Maruti,Alto,2012,200000,29500,Petrol,Individual,Manual,First Owner,21,998,67,90,3500,5,India
Hyundai,Verna,2018,950000,13887,Petrol,Individual,Manual,First Owner,17,1591,121,151,4850,5,South Korea
Maruti,Alto,2016,300000,50000,Petrol,Individual,Manual,Second Owner,23,796,47,69,3500,5,India
Renault,KWID,2016,315000,30000,Petrol,Individual,Manual,Second Owner,25,799,53,72,4386,5,France
Maruti,Alto,2012,220000,100000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Hyundai,i20,2016,595000,60000,Diesel,Individual,Manual,Second Owner,23,1396,89,220,2125,5,South Korea
Tata,Indica,2011,110000,120000,Diesel,Individual,Manual,First Owner,19,1405,70,135,2500,5,India
Ford,EcoSport,2017,680000,13500,Petrol,Individual,Manual,First Owner,17,1497,121,150,4500,5,United States
Fiat,Grande,2013,280000,52000,Diesel,Individual,Manual,First Owner,20,1248,75,197,1750,5,Italy
